Strength,筋力
Righteous Path,正義の道
Mortifying Aspect,屈辱的な面
Frantic Aspect,半狂乱の面
Introspection,内省
Inevitable Doom,Inevitable Doom
Doedre's Spite,ドードリの悪意
Hound's Mark,猟犬の呪印
Doedre's Gluttony,ドードリの暴食
Doedre's Apathy,ドードリの白け
Master of the Maelstrom,大渦の支配者
Aggressive Defence,攻撃的な防御
Minion Life,ミニオンライフ
Minion Life and Chaos Resistance,ミニオンライフおよび混沌耐性
Minion Damage,ミニオンダメージ
Lightning Critical Strike Multiplier,雷クリティカルダメージ倍率
Lightning Damage,雷ダメージ
Fire Damage,火ダメージ
Cold Damage,冷気ダメージ
Bow Accuracy,弓命中
Precision,プレシジョン
Minion Instability,ミニオンインスタビリティ
Conduit,コンジット
Acrobatics,アクロバット
Iron Reflexes,アイアンリフレックス
Resolute Technique,レゾリュートテクニック
Unwavering Stance,アンウェイバリングスタンス
Chaos Inoculation,カオスイノキュレイション
Eldritch Battery,エルドリッチバッテリー
Blood Magic,ブラッドマジック
Pain Attunement,ペインアチューンメント
Elemental Equilibrium,エレメンタルイクイリブリアム
Iron Grip,アイアングリップ
Point Blank,ポイントブランク
Arrow Dancing,アローダンシング
Ancestral Bond,アンセストラルボンド
Ghost Reaver,ゴーストリーバー
Vaal Pact,ヴァール・パクト
Zealot's Oath,ゼロッツオース
Trap and Mine Damage,トラップ・マインダメージ
Avatar of Fire,アバターオブファイヤー
Mind Over Matter,マインドオーバーマター
Entropy,エントロピー
Chaos Damage,混沌ダメージ
Corruption,Corruption
Defiled Forces,穢された力
Pierce,貫通
Life Leech,ライフリーチ
Mana Leech,マナリーチ
Fortification Duration,堅牢化持続時間
High Voltage,高電圧
"Armour, Stun Threshold","Armour, Stun Threshold"
Untiring,粘り強き者
Far Shot,ファーショット
Unholy Authority,不浄な権威
"Evasion and Energy Shield, Frenzy Charge Duration",回避力・エナジーシールドおよびフレンジーチャージ持続時間
Polymath,博学者
"Evasion and Energy Shield, Movement Speed",回避力・エナジーシールドおよび移動スピード
"Evasion and Energy Shield, Attack and Cast Speed",回避力・エナジーシールドおよびアタック・キャストスピード
Spellbreaker,スペルブレイカー
"Evasion and Energy Shield, Energy Shield Leech",回避力・エナジーシールドおよびエナジーシールドリーチ
One Step Ahead,一歩先へ
"Evasion and Energy Shield, Damage",回避力・エナジーシールドおよびダメージ
"Evasion and Energy Shield, Energy Shield Recharge",回避力・エナジーシールドおよびエナジーシールドリチャージ
Necromancer,ネクロマンサー
Soul Drinker,ソウル・ドリンカー
Damage Over Time Multiplier,継続ダメージ倍率
Elemental Focus,元素ダメージ集中
Overprepared,過剰な準備
Elemental Overload,エレメンタルオーバーロード
Perfect Agony,パーフェクトアゴニー
Crimson Dance,クリムゾンダンス
Runebinder,ルーンバインダー
Wicked Ward,邪悪な守り
Farsight,Farsight
Life and Mana on Kill against Cursed Enemies,呪われた敵撃破時にライフおよびマナ回復
Last Rites,最後の儀式
Minion Critical Strike Chance,ミニオンクリティカル率
Call to Arms,コールトゥアームズ
Eternal Youth,エターナルユース
Glancing Blows,グランシングブロウズ
Wind Dancer,ウィンドダンサー
The Agnostic,アグノスティック
Supreme Ego,スプリームエゴ
Imbalanced Guard,インバランスドガード
The Impaler,インペイラー
Curse Mana Reservation Efficiency,呪いマナリザーブ効率
Malicious Intent,Malicious Intent
Physical Damage Over Time Multiplier,物理継続ダメージ倍率
Magebane,メイジベイン
Iron Will,アイアンウィル
Solipsism,ソリプシズム
Ghost Dance,ゴーストダンス
Divine Shield,ディバインシールド
Versatile Combatant,バーサタイルコンバタント
Lethe Shade,レーテシェード
Precise Technique,プレサイステクニック
Bow Attack Speed and Phasing,弓アタックスピードおよび透明化
Curse Mana Cost,呪いマナコスト
Hex Area of Effect,呪術効果範囲
Mana on Kill against Cursed Enemies,呪われた敵撃破時にマナ回復
Steeped in the Profane,冒涜に没頭して
Minion Critical Strike Multiplier,ミニオンクリティカルダメージ倍率
Feast of Flesh,フィーストオブフレッシュ
Trial of the Faith,信仰の試練
Bow Attack Speed,弓アタックスピード
Circle of Life,生命の輪
Dance of Blades,刃の舞
Link Effect,リンク効果
Stun Recovery,スタン復帰
Life Gain on Hit,ヒット時ライフ獲得
Excess Sustenance,過剰な栄養
Stance Reservation Efficiency,スタンスリザーブ効率
Glacial Cage,氷の檻
Perfectionist,完璧主義者
Attack Damage in Blood Stance,ブラッドスタンス時アタックダメージ
Attack Speed in Sand Stance,サンドスタンス時アタックスピード
Chill Effect,冷却効果
Seasoned Swordplay,熟練の剣術
Fortify on Melee Stun,近接スタン時堅牢化
Link Cast Speed,リンクキャストスピード
"Life Regeneration, Melee Damage",ライフ自動回復および近接ダメージ
Master Distiller,蒸留の達人
"Armour and Energy Shield, Block Recovery",アーマー・エナジーシールドおよびブロック回復
"Armour and Energy Shield, Link Effect","Armour and Energy Shield, Link Effect"
"Area of Effect, Blind Effect",効果範囲および盲目効果
"Area of Effect, Movement Speed",効果範囲および移動スピード
"Area of Effect, Elemental Resistances","Area of Effect, Elemental Resistances"
"Area of Effect, Mine Throwing Speed",効果範囲およびマイン投擲スピード
Like Clockwork,時計仕掛けの如く
"Area of Effect, Trap Throwing Speed",効果範囲およびトラップ投擲スピード
"Area of Effect, Area Damage",効果範囲および範囲ダメージ
Righteous Fury,義憤
Faster Ailments,状態異常が早くなる
Multishot,マルチショット
Stun Threshold,スタン閾値
Chaos Resistance and Avoidance,混沌耐性および無効化確率
Empowered Bond,強化された絆
Expert Hunter,狩りの達人
Conjured Barrier,魔法障壁
Surge of Vigour,活力のうねり
Brink of Death,死の瀬戸際
Winter's Embrace,冬の抱擁
Potent Connections,強固な繋がり
Warcry Duration and Buff Effect,ウォークライバフ持続時間およびバフ効果
Flask Charges against Marked Enemy,呪印された敵に対するフラスコチャージ
Mark Cast Speed and Mana Cost,呪印キャストスピードおよびマナコスト
Mark Cast Speed,呪印キャストスピード
Mark Mana Cost,呪印マナコスト
Relentless Pursuit,容赦ない追跡
Curse and Chaos Resistance,呪いおよび混沌耐性
Ignite and Bleed Duration,発火および出血持続時間
Settling Ash,降り積もる灰
Concussive Force,コンカッシブフォース
Invigorating Blaze,爽快な火炎
Cauterisation,焼灼
Recovery Mastery,回復マスタリー
Protection Mastery,保護マスタリー
Warden of the Maji,マジの番人
Coated Blade,光沢のある刃
Nature's Concoction,自然の調合薬
Intensifying Suffusion,高まる浸出
Wildwood Blessing,原生林の祝福
Lesson of the Seasons,四季の教訓
Oath of the Maji,メジャイの誓い
Detect Evil,邪悪の感知
Vivid Wisps found,ビビッドウィスプ獲得量
Warlock of the Mists,霧の魔法使い
Sanguimancy,血魔術
Crimson Power,深紅の力
Cannibalised Faith,喰われた信仰
Soul Splitting,魂の分裂
Creeping Lobotomy,忍び寄るロボトミー
Choir of the Damned,亡者の聖歌隊
Black Mass,黒ミサ
Warlock Power,魔術師の力
Foul Pact,不純な契約
Blood Hunt,ブラッドハント
Wild Wisps found,ワイルドウィスプ獲得量
Wildwood Primalist,原生林の原始術師
Might of the Bear,熊の力
Charm Socket,チャームソケット
Howl of the Wolf,狼の遠吠え
Primal Wisps found,プライマルウィスプ獲得量
Warlord's Call,Warlord's Call
Mana and Increased Mana Cost,マナおよびマナコスト増加
Flask Duration,フラスコ持続時間
Attribute,能力値
Crystalline Resistance,結晶化した耐性
Gem Enthusiast,ジェム収集家
All Attributes,全ての能力値
Crystallised Immunities,結晶化した免疫
Brute Strength,怪力
Ingenuity,創造力
Polymathy,博識
Reduced Attribute Requirements,要求能力値減少
Jack of all Trades,何でも屋
Quarterstaff Stun and Knockback,クォータースタッフスタンおよびノックバック
Quarterstaff Freeze and Daze Buildup,クォータースタッフ凍結および眩暈蓄積
Quarterstaff Speed,クォータースタッフスピード
Whirling Assault,ワーリングアサルト
Quarterstaff Critical Chance,クォータースタッフクリティカル率
One with the Storm,嵐とともにある者
Quarterstaff Critical Damage,クォータースタッフクリティカルダメージ
Martial Artistry,武芸の技術
Dagger Speed,ダガースピード
Dagger Critical Chance,ダガークリティカル率
Silent Shiv,隠密の刃
Dagger Critical Damage,ダガークリティカルダメージ
Coated Knife,塗布されたナイフ
Trap Throw Speed,トラップ投擲スピード
Trap Critical Chance,トラップクリティカル率
Devestating Devices,壊滅的な装置
Bow Critical Damage,弓クリティカルダメージ
Bow Accuracy Rating,弓命中力
Feathered Fletching,羽付き矢羽
Sniper,スナイパー
Bow Speed,弓スピード
Pierce the Heart,心臓を射抜け
Spear Critical Chance,スピアクリティカル率
Spear Damage,スピアダメージ
Javelin,ジャベリン
Spear Attack Speed,スピアアタックスピード
Spear Accuracy,スピア命中力
Focused Thrust,精密な突き
Precise Point,精確な突き
Roll and Strike,回避からの一撃
Block and Damage Taken from Blocked Hits,Block and Damage Taken from Blocked Hits
Glancing Hits,Glancing Hits
Parried Duration,パリィ持続時間
Stun Threshold during Parry,パリィ中のスタン閾値
Shield Evasion,盾回避力
Reprisal,報復
Resolute Reprisal,断固たる反撃
Projectile Parry Range,投射物パリィ範囲
Evasion during Parry,パリィ中の回避力
Heavy Blade,ヘビーブレード
Sword Speed,剣スピード
Ripping Blade,切り裂きの刃
Stance Breaker,スタンスブレーカー
Lay Siege,包囲攻撃
Greatest Defence,最大の防御
Wide Barrier,広範囲の障壁
Core of the Guardian,ガーディアンのコア
Shield Damage from Shield Defences,Shield Damage from Shield Defences
Defensive Stance,防御的構え
Vigilance,警戒
Shield Attack Speed,盾アタックスピード
Defensive Reflexes,防御的反射
Block and Movement Penalty with Raised Shield,ブロックおよび盾を構えている時の移動スピードペナルティ
Movement Penalty with Raised Shield,盾を構えている時の移動スピードペナルティ
Block and Stun Threshold,ブロックおよびスタン閾値
Dazing Blocks,眩暈のブロック
Steadfast Resolve,断固たる決意
Maximum Block,ブロックの最大値
Frightening Shield,威圧の盾
Crossbow Damage,クロスボウダメージノータブル
Crossbow Critical Chance,クロスボウクリティカル率
Power Shots,パワーショット
Grenade Damage,グレネードダメージ
Repeating Explosives,繰り返す爆発
Crossbow Reload Speed,クロスボウリロードスピード
Rapid Reload,高速リロード
Reusable Ammunition,再利用可能な弾薬
Full Salvo,全弾発射
Efficient Loading,効率リロード
Axe Rage on Hit,斧ヒット時憤怒
Axe Attack Speed,斧アタックスピード
Whirling Onslaught,旋風の猛攻
Enraged Reaver,激怒した襲撃者
Mace Stun Buildup,メイススタン蓄積
Skullcrusher,スカルクラッシャー
Mace Damage and Stun Buildup,メイスダメージおよびスタン蓄積
Mace Aftershock Chance,メイス余震確率
Split the Earth,大地を裂け
Flail Damage,フレイルダメージ
Ball and Chain,玉と鎖
Flail Critical Chance,フレイルクリティカル率
Morning Star,モーニングスター
Rattling Ball,振動する球体
Spiked Whip,棘のついた鞭
Focus Energy Shield,フォーカスエナジーシールド
Curse Effect on Self,自信に対する呪い効果
Warding Fetish,護りの呪具
Spell Damage on full Energy Shield,フルエナジーシールド時スペルダメージ
Dreamcatcher,ドリームキャッチャー
One Handed Attack Speed,片手武器アタックスピード
Versatile Arms,多機能武器
One Handed Accuracy,片手武器命中力
One Handed Critical Chance,片手武器クリティカル率
Push the Advantage,有利な状況を活かす
Impair,損害
One Handed Ailment Chance,片手状態異常確率
Coated Arms,塗布された武器
Two Handed Damage,両手武器ダメージ
Singular Purpose,唯一の目的
Two Handed Damage and Stun,両手武器ダメージおよびスタン
Heavy Contact,激しい接触
Colossal Weapon,巨大な武器
Curved Weapon,曲がった武器
Shockwaves,衝撃波
Dual Wielding Damage,二刀流ダメージ
Dual Wielding Accuracy,二刀流命中力
Cross Strike,十字斬り
Dual Wielding Speed,二刀流スピード
Blade Flurry,剣の乱舞
Polished Iron,光沢のある鉄
Armour and Applies to Fire Damage,アーマーおよび火ダメージに適用
Heatproof,耐熱処理
Projectile Bulwark,投射物防護壁
Blade Catcher,刃を受けるもの
Heavy Armour,重装防具
Made to Last,耐久性
Sturdy Metal,頑丈な金属
Impenetrable Shell,不可侵の殻
General's Bindings,将軍の拘束具
Armour and Applies to Cold Damage,アーマーおよび冷気ダメージに適用
Chillproof,耐冷却処理
Armour and  Applies to Lightning Damage,アーマーおよび雷ダメージに適用
Shockproof,耐感電処理
Tempered Defences,鍛えられた防御
High Alert,高い警戒状態
Escape Strategy,逃走戦略
Careful Consideration,慎重な検討
Slow Effect on You,プレイヤーに対する減速効果
Deflection and Evasion,受け流し力および回避
Escape Velocity,脱出速度
Enhanced Reflexes,強化された反射神経
Beastial Skin,獣の皮膚
Afterimage,残像
Leather Bound Gauntlets,革製のガントレット
Catlike Agility,猫の素早さ
Stun and Ailment Threshold from Energy Shield,エナジーシールドによるスタン閾値および状態異常閾値
Energy Shield Recharge,エナジーシールドリチャージ
Calibration,キャリブレーション
Patient Barrier,耐久性の高いバリア
Enhanced Barrier,強化バリア
Dampening Shield,抑制シールド
Heavy Buffer,強力な緩衝材
Illuminated Crown,光り輝く王冠
Strong Chin,頑丈な顎
Backup Plan,代替案
Insulated Treads,絶縁された踏板
Feel no Pain,痛みを感じない
Tolerant Equipment,頑丈な装備
Evasion and Energy Shield Recharge,回避力およびエナジーシールドリチャージ
Spectral Ward,霊体の守り
Inner Faith,内なる信仰
Shadow Dancing,シャドウダンス
Immaterial,非物質化
Shimmering,煌めき
Subterfuge Mask,偽装の仮面
Mindful Awareness,注意深い気づき
Ancient Aegis,古代のイージス
Adamant Recovery,不屈の回復
Reinforced Barrier,強化された障壁
Spiral into Depression,鬱への悪循環
Armour Applies to Fire Damage Hits,火ダメージのヒットにアーマー適用
Armour Applies to Cold Damage Hits,冷気ダメージのヒットにアーマー適用
Armour Applies to Lightning Damage Hits,雷ダメージのヒットにアーマー適用
Unnatural Resilience,不自然な耐性
Prism Guard,プリズムガード
Reduced Movement Penalty,移動ペナルティ減少
Ailment Threshold,状態異常閾値
Unhindered,自由自在に
Natural Immunity,自然免疫
Warm the Heart,心臓を温めよ
Feel the Earth,大地を感じよ
Shedding Skin,皮膚の脱皮
Energy Shield Delay,エナジーシールド遅延
Mystic Stance,神秘的な構え
Quick Response,素早い反応
Rapid Recharge,高速リチャージ
Covering Ward,防護の守り
Refocus,最集中
Dependable Ward,信頼できる守り
Convalescence,コンヴァレッセンス
Energy Shield Recharge and Mana Flask Recovery,エナジーシールドリチャージおよびマナフラスコ回復
Arcane Mixtures,秘宝の混合物
Energy Shield Recoup,エナジーシールド回収
Storm Driven,嵐駆動
Block and Shield Defences,ブロックおよび盾防御力
Unstoppable Barrier,止められぬ障壁
Hunker Down,耐え忍ぶ
Towering Shield,聳え立つ盾
Defender's Resolve,防御者の覚悟
Swift Blocking,素早いブロック
Spiked Shield,棘のある盾
Shield Expertise,盾の専門知識
Block Recovery,ブロック復帰
Parry Damage,パリィダメージ
Parry Stun Buildup,パリィスタン蓄積
Swift Interruption,素早い妨害
Flashy Parrying,華麗な受け流し
Consistent Intake,定量摂取
Counterstancing,反撃の構え
Glancing Deflection,かすめる受け流し
Brush Off,攻撃逸らし
Deflection Rating,受け流し力
Enduring Deflection,持続力のある受け流し
Avoiding Deflection,無力化の受け流し
Energising Deflection,エネルギーを与える受け流し
Evasion Rating,回避値
Staunch Deflection,頑強な受け流し
Trained Deflection,熟練の受け流し
Mending Deflection,癒しの受け流し
Resolution,覚悟
Titan's Determination,タイタンの決意
Unbreaking,破壊不能
Stun Threshold and Strength,スタン閾値および筋力
Wary Dodging,用心深いドッジ
Stun Threshold if no recent stun,Stun Threshold if no recent stun
Hefty Unit,重いユニット
Stun Threshold and Evasion Rating,スタン閾値および回避力
Unbending,不動の詠唱
Stun Threshold from Energy Shield,エナジーシールドによるスタン閾値
Austerity Measures,緊縮政策
Asceticism,禁欲主義
Self Mortification,自虐行為
Hallowed,神聖
Abasement,屈辱
Ailment Threshold from Energy Shield,エナジーシールドによる状態異常閾値
Shimmering Mirage,煌めく幻影
Eldritch Will,この世のものではない意志
Stun Threshold if not Stunned recently,直近スタンしていない場合のスタン閾値
Briny Carapace,海の甲羅
Deft Recovery,迅速な回復
Back in Action,活動再開
Fire Damage and Armour ,火ダメージおよびアーマー
Fire Penetration,火耐性貫通
Molten Carapace,マグマの装甲
Ignite Magnitude on You,プレイヤーに対する発火強度
One With Flame,炎と共にある者
Molten Being,マグマの者
Ignite Duration,発火持続時間
Melting Flames,溶かす炎
Self Immolation,焼身
Freeze and Chill Resistance,凍結および冷却耐性
Embracing Frost,霜を抱擁する
Slippery Ice,滑りやすい氷
Icebreaker,アイスブレイカー
Electrocute Buildup,麻痺蓄積
Electrocution,麻痺
Coursing Energy,流動するエネルギー
Electrocuting Exposure,麻痺させる曝露
Mass Rejuvenation,大規模な再生
Life Regeneration on Low Life,低ライフ時のライフ自動回復
Desperate Times,困難な時期
Life Regeneration while Stationary,静止中のライフ自動回復
Resilient Soul,強靭な魂
Thickened Arteries,厚くなった動脈
Hard to Kill,殺しにくい
Hale Heart,健全な心
Stand Ground,踏ん張り
Life Leech. Armour and Evasion while Leeching,ライフリーチ、リーチ中のアーマーおよび回避力
Life Leech and Slower Leech,ライフリーチおよび遅いリーチ
Fortifying Blood,強化する血液
Voracious,欲深い
Bloodthirsty,血に飢えた
Goring,突進
Savoured Blood,堪能された血
Fast Metabolism,素早い代謝
Life Leech Speed,ライフリーチスピード
Life Leech and Physical Damage,ライフリーチおよび物理ダメージ
Life Regeneration Rate,ライフ自動回復レート
Loose Flesh,たるんだ肉
Taut Flesh,引き締まった肉
Heart Tissue,心臓の組織
Pliable Flesh,しなやかな肉
Glazed Flesh,艶のある肉
Arcane Surge Effect and Life Regeneration,アーケインサージ効果およびライフ自動回復
Life Regeneration Rate and Presence,ライフ自動回復レートおよび存在下
Sanguimantic Rituals,紅の儀式
Heartstopping Presence,心臓を止めるような存在感
Life on Kill,キル時ライフ獲得
Immortal Infamy,不死の悪行
Life Flasks,ライフフラスコ
Refills,補充
Hale Traveller,健康な旅行者
Reinvigoration,再生
Life Flask Charges,ライフフラスコチャージ
Life Flask Charge Generation,ライフフラスコチャージ生成
Staunching,止血
Life Flask Recovery,ライフフラスコ回復
Succour,救援
Heavy Drinker,大酒飲み
Rage on Hit,ヒット時憤怒
Blood of Rage,血の憤怒
Lavianga's Brew,ラビアンガの醸造
Tukohama's Brew,トゥコハマの醸造
Efficient Alchemy,効率的な錬金術
Flask and Charm Charges Gained,フラスコおよびチャーム獲得チャージ
Flask Recovery,フラスコ回復量
Savouring,堪能
Life and Mana Flask Recovery,ライフおよびマナフラスコ回復量
Combat Alchemy,戦闘用錬金術
Cautious Concoctions,慎重な調合薬
Critical Chance,クリティカル率
Crashing Wave,砕ける波
Critical Damage,クリティカルダメージ
Damage on Critical,クリティカル時ダメージ
Cruel Fate,残酷な運命
Leaping Ambush,跳躍の待ち伏せ
Direct Approach,クリティカル率ノータブル
For the Jugular,頸動脈を狙え
Critical Exploit,致命的な抜け道
Spell Critical Damage,スペルクリティカルダメージ
Moment of Truth,真実の瞬間
Preemptive Strike,先制攻撃
Desensitisation,感受性の低下
Cooked,まずいことになる
Deadly Force,致命的な力
Sundering,破断
Heartstopping,心臓が凍る
Heartbreaking,胸が張り裂ける
Struck Through,突き刺し
Attack Critical Damage,アタッククリティカルダメージ
Attack Critical Chance,アタッククリティカル率
Critical Chance and Damage,クリティカル率およびダメージ
Overwhelming Strike,圧倒する一撃
Vulgar Methods,粗野な手法
Barbaric Strength,野蛮人の筋力
Tainted Strike,汚れた一撃
Dispatch Foes,敵を一掃
Careful Assassin,注意深い暗殺者
Decisive Retreat,巧妙な退避
Presence Area,存在下効果範囲
Attack Speed and Flask Duration,アタックスピードおよびフラスコ持続時間
Blurred Motion,ぼやけた動き
Skill Speed,スキルスピード
Tenfold Attacks,十倍の攻撃
Stimulants,刺激剤
Reaving,襲撃
Mass Hysteria,集団ヒステリー
Falcon Technique,鷹の技術
Sand in the Eyes,目潰し
Deep Trance,深い催眠状態
Flow State,フロー状態
Blinding Flash,眩しい閃光
Blood Rush,血の昂ぶり
Evasion Rating on Hit Recently,直近ヒットした場合の回避力
Agile Succession,素早い連撃
Final Barrage,最終バラージ
Casting Cascade,詠唱のカスケード
Effervescent,活気に満ちた
Overzealous,過剰な熱意
Spiral into Mania,躁病に陥る
Spell Haste,スペル詠唱迅速化
Practiced Signs,習熟したサイン
Erraticism,不規則性
Mental Alacrity,頭の回転の速さ
Hastening Barrier,加速のバリア
Stun Buildup,スタン蓄積
Hulking Smash,巨大な一撃
Titanic,タイタニック
Cranial Impact,頭部への衝撃
Perfect Opportunity,絶好の機会
Shattering Blow,粉砕の一撃
Flip the Script,シナリオを逆転させる
Easy Target,簡単な獲物
Maximum Rage,憤怒最大値
Rage when Hit,被ヒット時憤怒獲得
Ignore Pain,痛みを無視する
Battle Trance,戦闘トランス状態
Prolonged Fury,長引く怒り
Later Rage Loss Start,憤怒喪失開始を遅く
Unforgiving,容赦なし
Vengeful Fury,復讐の怒り
Sudden Infuriation,怒りの爆発
Bleeding Duration,出血持続時間
Critical Bleeding Effect,クリティカル出血効果
Bleeding Chance,出血確率
Deep Wounds,深い傷
Bleeding Chance on Critical,クリティカル時出血確率
Attack Damage vs Bleeding Enemies,出血状態の敵へのダメージ
Perfectly Placed Knife,完璧な位置に刺されたナイフ
Aggravation,出血悪化
Bleeding Damage,出血ダメージ
Bleeding Out,出血死
Incision,切開
Inevitable Rupture,不可避の裂傷
Rusted Pins,錆びた足止め
Thousand Cuts,何千もの切り傷
Staggering Wounds,ふらつきの傷
Incision Chance,切開確率
Knockback,ノックバック
Pin Buildup,足止め蓄積
Flammability Magnitude,可燃性強度
Flammability and Ignite Magnitude,可燃性および発火強度
Immolation,焼身
Slow Burn,燃焼遅く
Ignite Magnitude,発火強度
Firestarter,火つけ
Burnout,燃え尽き
Freeze Buildup,凍結蓄積
Inescapable Cold,逃れられぬ冷気
Shattering,粉砕
Chill Effect and Duration,Chill Effect and Duration
Chill and Freeze Duration,Chill and Freeze Duration
Chilled to the Bone,骨の髄まで冷える冷気
Perpetual Freeze,永久凍結
Lightning Skill Chain Chance,雷スキル連鎖確率
Shock Effect,感電効果
Branching Bolts,枝分かれする雷
Frazzled,疲労困憊
General Electric,ゼネラル・エレクトリック
Drenched,ずぶ濡れ
Shock Duration,感電持続時間
Rattled,動揺
Harmonic Generator,ハーモニックジェネレーター
Lightning Damage and Resistance,雷ダメージおよび耐性
Conductive Embrace,感電の抱擁
Poison Duration,毒持続時間
Escalating Toxins,増大する毒
Building Toxins,蓄積する毒
Crippling Toxins,致命的な毒物
Leeching Toxins,リーチする毒
Lasting Toxins,持続する毒
Stacking Toxins,積み重なる毒
Toxic Tolerance,毒耐性
Evasion if Consumed Frenzy Charge,フレンジチャージを消費した場合の回避力
Recover Life on consuming Endurance Charge,エンデュランスチャージ消費時のライフ回復
Guts,胆力
Grit,根性
Armour if Consumed Endurance Charge,エンデュランスチャージ消費時アーマー
Critical Damage when consuming a Power Charge,パワーチャージ消費時のクリティカルダメージ
Lust for Power,力への渇望
Overflowing Power,溢れる力
The Power Within,内なる力
Energy Shield if Consumed Power Charge,パワーチャージ消費時のエナジーシールド
Empowered Attack Damage and Bleeding Chance,強化されたアタックダメージおよび出血確率
Warcry Cooldown,ウォークライクールダウン
Empowered Attack Damage,強化されたアタックダメージ
Warcry Damage,ウォークライダメージ
Cacophony,不協和音
Vocal Empowerment,声による強化
Internal Bleeding,内出血
Bravado,見せかけの勇気
Deafening Cries,耳をつんざく叫び
Guttural Roar,唸る咆哮
Warcry Power Counted,ウォークライ計算されるパワー
Bolstering Yell,強化の叫び
Thirst of Kitava,キタヴァの渇き
Warcry Cooldown and Speed,ウォークライクールダウンおよびスピード
Urgent Call,緊急の呼びかけ
Empowered Attack Damage and Power Counted,強化アタックダメージおよび計算されるパワー
Roaring Cries,咆哮のウォークライ
Explosive Empowerment,爆発性の強化
Cremating Cries,火葬のウォークライ
Extinguishing Exhalation,消火の吐息
Inherited Strength ,受け継いだ力
Curse Activation Speed and Effect,呪いアクティブ化スピードおよび効果
Impending Doom,インペンディングドゥーム
Zone of Control,制御区域
Curse Area,呪いオーラ
Master of Hexes,呪術の達人
Fated End,運命の終焉
Lingering Whispers,長引く囁き
Decrepifying Curse,老衰の呪い
Supportive Ancestors,支援する先祖
Carved Earth,彫りこまれた大地
Totem Placement Speed,トーテム設置スピード
Totem Life,トーテムライフ
Ancestral Artifice,先祖の技巧
Ancestral Unity,先祖の団結
Hardened Wood,堅木
Spirit Bond,魂の絆
Ancestral Alacrity,先祖の敏捷さ
Totem Cast and Attack Speed,トーテムキャストスピードおよびアタックスピード
Totem Cast Speed,トーテムキャストスピード
Ancestral Conduits,先祖の流れ
Ancestral Mending,先祖の癒し
Totem Attack Speed,トーテムアタックスピード
Totem Elemental Resistance,トーテム元素耐性
Totem Physical Damage Reduction,トーテム物理ダメージ軽減
Minion Area,ミニオン効果範囲
Deadly Swarm,致命的な群れ
Lord of Horrors,恐怖の君主
Splintering Force,破砕の力
Dead can Dance,死者も踊る
Relentless Fallen,容赦ない堕落者
Minion Stun Buildup,ミニオンスタン蓄積
Right Hand of Darkness,闇の右腕
Minion Critical Chance,ミニオンクリティカル率
Grip of Evil,悪の掌握
Necrotic Touch,屍霊術の手触り
Minion Critical Damage,ミニオンクリティカルダメージ
Restless Dead,安息の訪れない死者
Growing Swarm,成長する群れ
Command Skill Damage,コマンドスキルダメージ
Command Skill Cooldown,コマンドスキルクールダウン
At your Command,あなたの命ずるがままに
Gravedigger,墓堀人
Minion Revive Speed,ミニオン復活スピード
Minion Fire Resistance,ミニオン火耐性
Necrotised Flesh,壊死した肉
Left Hand of Darkness,闇の左腕
Crystalline Flesh,結晶化した肉
Fleshcrafting,肉体形成術
Minion Lightning Resistance,ミニオン雷耐性
Minion Physical Damage Reduction,ミニオン物理ダメージ軽減
Minion Cold Resistance,ミニオン冷気耐性
Vile Mending,邪悪な修復
Regenerative Flesh,再生する肉
Living Death,生ける死
Minion Revive Speed and Energy Shield Recharge,ミニオン復活スピードおよびエナジーシールドリチャージ
Reformed Barrier,再構築されたバリア
Expendable Army,使い捨ての軍隊
Minion Duration,ミニオン持続時間
Entropic Incarnation,エントロピーの具現化
Gigantic Following,巨大な一団
Unleash Seal Generation,Unleash Seal Generation
Additional Spell Projectiles,追加のスペル投射物
Anticipation,予見
Lasting Incantations,持続する呪文
Potent Incantation,威力のある呪文
Spellblade,スペルブレード
Spell and Minion Damage,スペルダメージおよびミニオンダメージ
Emboldening Lead,鼓舞の導き
Empowering Remains,強化する死体
Melee Critical Chance,近接クリティカル率
Rapid Strike,迅速な一撃
Serrated Edges,ギザギザの刃先
Personal Touch,個人的な工夫
In Your Face,真正面から
Viciousness,凶悪さ
Unerring Impact,外さない衝撃
Heavy Weaponry,重武装
Reaching Strike,届く一撃
Deadly Flourish,致命的な一振り
Initiative,イニシアチブ
Breaking Blows,打ち砕く一撃
Honourless,不名誉
Melee Damage against Immobilised,固定された敵に対する近接ダメージ
Smash,打ち砕き
Melee and Stun,近接およびスタン
Ancestral Boosted Attack Damage and Stun,先祖の加護を受けたアタックダメージおよびスタン
Ancestral Boosted Area and Damage,先祖の加護範囲およびダメージ
Channelled Heritage,遺産のチャネリング
Guided Hand,導きの手
Attack Damage and Movement Speed,アタックダメージおよび移動スピード
Attack Damage and Slow Effect,アタックダメージおよび減速効果
Maiming Strike,重傷を与える一撃
Attack Damage and Skill Duration,アタックダメージおよびスキル持続時間
Prolonged Assault,長期間の攻撃
Blinding Strike,盲目にする一撃
Last Stand,最後の抵抗
Attack Damage with nearby Ally,近くに味方がいる時のアタックダメージ
Killer Instinct,殺人者の本能
Presence Present,現在の存在感
Unexpected Finesse,予期せぬ巧妙さ
Attack Damage on Low Life,低ライフ時のアタックダメージ
